Cluster Labels,S.No.,Location,Pincode,Latitude,Longitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
4,162,Krishnarajapuram R S,560016,13.0005089,77.6753945,ATM,Bus Station,Fast Food Restaurant,Mattress Store,Indian Restaurant,Donut Shop,Financial or Legal Service,Field,Farmers Market,Event Space
0,166,Kundalahalli,560037,12.9684441,77.7187843,Indian Restaurant,Fast Food Restaurant,Hotel,Soccer Field,Asian Restaurant,Breakfast Spot,Food,Market,Food Court,Salon / Barbershop
2,174,Mahadevapura,560048,12.9934976,77.6924156,Clothing Store,Coffee Shop,French Restaurant,Fast Food Restaurant,Donut Shop,Café,Bus Station,Shopping Mall,Bowling Alley,Lounge
2,182,Marathahalli Colony,560037,12.9559165,77.6882298,Tea Room,Coffee Shop,Airport Terminal,History Museum,Fast Food Restaurant,Clothing Store,Indian Restaurant,Mexican Restaurant,Fried Chicken Joint,Electronics Store
1,189,Medimallasandra,560067,12.9523031,77.830108,Scenic Lookout,Yoga Studio,Dive Bar,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant
2,215,Panathur,560087,12.9351457,77.7047541,Ice Cream Shop,Construction & Landscaping,Train Station,Recreation Center,Athletics & Sports,Department Store,Gym,Café,Food Court,Pizza Place
2,229,Ramagondanahalli,560066,12.9558969,77.7405826,Pizza Place,Multiplex,Shopping Mall,Restaurant,Food Court,Hotel,Café,Indian Restaurant,Bookstore,Rajasthani Restaurant
0,231,Ramamurthy Nagar,560016,13.0120218,77.6777817,ATM,Bakery,South Indian Restaurant,Supermarket,Indian Restaurant,English Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Space
0,260,Thambuchetty Palya,560049,13.0215083,77.7000989,Indian Restaurant,Hotel,Pizza Place,Café,Bakery,Convenience Store,Historic Site,Financial or Legal Service,Fast Food Restaurant,Farmers Market
3,278,Virgonagar,560049,13.0331172,77.734857,Athletics & Sports,Breakfast Spot,Lake,University,Yoga Studio,English Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Space
2,285,Whitefield,560066,12.9696365,77.7497448,Gym / Fitness Center,Bakery,Café,Brewery,Hotel Bar,Restaurant,Grocery Store,Eastern European Restaurant,Kerala Restaurant,Indian Restaurant
2,292,Yemalur,560037,12.9454643,77.6805505,Donut Shop,Fast Food Restaurant,Lounge,Indian Restaurant,Tea Room,Yoga Studio,Financial or Legal Service,Field,Farmers Market,Event Space
