Location,Pincode,Latitude,Longitude
Kudlyiruppur,600089,,
Kumaran Nagar,600033,12.9719239,80.1922426
Kunnathur Kanchipuram,600069,,
Lic Colony Tambaram,600059,,
Ligods Estate,600014,,
Ligods Road,600014,,
Loyla College,600034,,
Luz Church Road,600004,13.0371226,80.2663052
M P T Admn Office,600001,,
Madhavaram,600060,13.1554081,80.2425246
Madhavaram East,600060,13.1554081,80.2425246
Madhavaram Milk Colony,600051,13.1554081,80.2425246
Madipakkam,600091,12.9611348,80.2001292
Madras Air Port,600027,,
Madras Electricity System,600002,,
Madras Gpo,600001,,
Madras Medical College,600003,13.08095965,80.27994938138474
Madras Presidency College,600005,13.059021099999999,80.28138336226445
Madras Race Course,600032,13.0085091,80.2104567
Madras University,600005,13.0116753,80.24000774361667
Mambalam East,600033,13.0380662,80.2277752
Mambalam R S,600033,13.0380662,80.2277752
Manali Madras,600068,13.1672275,80.2598107
Manali New Town,600103,13.1672275,80.2598107
Mandavalli,600004,,
Mannady,600001,13.0959441,80.2871013
Mannurpettai,600050,,
Medavakkam Tank Road,600010,13.0865218,80.2445966
Mednambedu,600053,,
Mettupalayam,600033,13.1075542,80.2540237
Minambakkam,600027,12.9846976,80.1750925
Mint Buildings,600001,,
Monegar Choultry,600001,13.108409,80.2865667
Moolakadai,600060,13.1291684,80.2416991
Mpt Staff Colony,600081,,
Ms Accountant General,600018,,
Ms Vivekanands College,600004,,
Muthialpet,600001,,
Mylopore,600004,,
Naganallur,600061,,
Naganallur South,600061,,
Nandanam,600035,13.0286286,80.240256
Nandanam Bazaar,600035,,
Nanganallur Bazaar,600061,13.0012541,80.1957234
Negelkeni,600044,,
New Avadi Road,600010,13.1034466,80.2008674
Nochikuppam Colony,600004,,
North Thyagarayanagar,600017,,
Nungambakkam,600034,13.0620626,80.240487
Nungambakkam Bazaar,600034,,
Nungambakkam High Road,600034,13.0527433,80.2508669
Offiers Trg School,600037,,
Old College Buildings,600006,,
Orgadam,600053,,
Padi,600050,13.1035851,80.1920425
Padi South,600050,13.1035851,80.1920425
Padianallur,600052,,
Pallavaram,600043,12.9654669,80.1451178
Pallavaram North,600043,12.9654669,80.1451178
Pallavaram South,600043,12.9654669,80.1451178
Palvanthangal,600061,,
Pammal,600075,12.9737938,80.1408
Panagal Park,600017,13.04150375,80.23309710963142
Panchiappas College Hoste,600030,,
Park Town,600003,13.0863424,80.2727567
Parthasarathy Koil,600005,13.0216051,80.2077809
Pattabiram,600072,13.1222511,80.0624155
Pattabiram East,600072,13.1222511,80.0624155
Perambur,600011,13.1121242,80.245022
Perambur Barracks,600012,13.0986022,80.2594995
Perambur High Road,600012,13.1060173,80.2511672
Perambur North,600011,13.1121242,80.245022
Perungudi,600096,12.9710239,80.2418051
Police Head Quarters,600004,,
Polichalur,600074,,
Ponniammanmedu,600110,,
Poonamallee,600056,13.0611992,80.1378656
Poonamallee East,600056,13.0611992,80.1378656
Pozhal,600060,,
Prithivipakkam,600053,,
Pudupakkam,600014,12.82827285,80.22039265
Pudupet,600002,13.0712018,80.2669603
Pulianthope,600012,13.1003849,80.2683122
Purasawakkam,600084,,
R A Puram Colony,600028,,
Radhanagar,600044,13.0801721,80.2838331
Railway Car Shed Complex,600109,,
Railway Colony,600059,12.993374,80.17258667392555
Raj Bhavan Madras Raja,600022,,
Rajah Thottam,600082,,
Rajainagar,600043,,
Ramakrishnanagar,600028,,
Rayapuram Madras,600013,13.1171002,80.2841149
Rayapuram Market,600013,13.1171002,80.2841149
Red Hills,600052,13.1778195,80.2344831
Red Hills Bazaar,600052,,
Regional Engg College,600052,,
Rengarajapuram,600024,,
Ripon Buildings,600003,13.081856649999999,80.2718454274524
Royapettah,600014,13.0554718,80.2639706
Royapettah High Road,600004,13.0487074,80.2654419
Saidapet Madras,600015,13.020817,80.2239536
Saidapet West,600015,13.020817,80.2239536
Saidhapet North,600015,,
Saligramam,600093,13.0583406,80.1985327
Saligramam South,600093,13.0583406,80.1985327
Santhome,600004,13.0298372,80.275738
Sastrinagar,600020,,
Sathyamurthinagar,600062,,
Selaiyur,600073,12.9269402,80.1146503
Sembiam,600011,13.1128208,80.2388201
Sembier Street,600001,,
Service Centre,600031,13.0801721,80.2838331
Seven Wells,600001,13.1005688,80.2821153
Shanmugapuram,600019,,
Shastri Bhavan,600006,13.0659128,80.2470935
Shenoynagar,600030,,
Sidco Estate,600098,13.01407,80.2091208
Sithathur,600074,,
Solai Street,600023,13.0410589,80.1822883
Solavaram,600067,,
Sowcarpet,600079,13.0801721,80.2838331
Sri Ayyappanagar,600111,,
Srinivasanagar,600063,,
St Thomas Mount H O,600016,12.9953587,80.1997148
Syrahans Road,600012,,
Tambaram East,600059,12.9265148,80.1314526
Tambaram H O,600045,,
Tambaram I A F,600046,,
Tambaram Sanitorium,600047,,
Tambaram West,600045,12.9265148,80.1314526
Taramani,600113,12.9849067,80.2404069
Technical Teachers Trg In,600020,,
Teynampet,600018,13.0443237,80.2498455
Teynampet South,600018,13.0396928,80.2472853
Teynampet West,600006,13.0474874,80.2485425
Thandarai,600072,,
Thayagaranagar H O,600017,,
Theosophical Society,600020,13.007584,80.27087593337941
Thillaiganganagar,600061,,
Thyagarayanagar South,600017,,
Tirumangalam Road,600049,,
Tiruvaluvar Nagar,600016,,
Tiruvanmiyur,600041,12.9889822,80.2515865
Tiruvellikeni,600005,,
Tiruverkadu,600077,,
Tiruvottiur Central,600019,,
Tiruvottiyur,600019,13.1563873,80.3005279
Tiruvottiyur North,600019,13.1563873,80.3005279
Tiruvottiyur West,600019,13.1563873,80.3005279
Tondikarpet,600081,,
Treaning Institute,600113,,
Triplicane South,600014,13.0604285,80.2750704
Usman Road,600017,13.0410665,80.2321375
Vadapalani,600026,13.0509304,80.2120661
Vandalur,600048,12.8921486,80.0829603
Velacheri,600042,12.9879107,80.2231951
Venkatesapuram,600012,13.1085103,80.2640242
Vepery,600007,13.0842952,80.2622738
Vijayalakshmipuram,600053,,
Villivakkam,600049,13.1125875,80.2081378
Villivakkam North,600049,13.1125875,80.2081378
Villivakkam South,600049,13.1125875,80.2081378
Virugambakkam,600092,13.0475434,80.1922181
Virugambakkam Bazar,600092,,
Virugambakkam North,600092,13.0475434,80.1922181
Vyasarpady,600039,,
Vysarnagar Colony,600039,,
Vysarpady Coop Ind Estate,600039,,
Wal Tax Road,600001,,
Washermanpeta East,600021,,
Washermanpetta,600021,,
West Mambalam,600033,13.0427322,80.2270781
Wimconagar,600019,,
World University,600031,,
,,,
