Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Nalas Aappa Kadai,13.088220243824633,80.21801505803249,Indian Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Mainland China,13.092134255805492,80.21052728214539,Chinese Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Slam Fitness,13.092159963396835,80.21048915089074,Gym
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Twin Towers Restaurant,13.0924279809981,80.21230853744296,Malay Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Anytime Fitness,13.092403653108821,80.21273622144638,Gym / Fitness Center
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Sree Akshayam Sweets and Bakers,13.092435202844417,80.21061719200964,Fast Food Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Cafe Coffee Day,13.082440115817308,80.21787044921982,Coffee Shop
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Latte,13.084121722637,80.21901196944111,Café
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Cheesy Juicy Burgers,13.092227,80.215999,Burger Joint
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Brown Tree,13.092662307674658,80.20699189753041,Department Store
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Vodafone Store,13.085271584955207,80.20307888583595,Mobile Phone Shop
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Capri restaurant,13.0946215863415,80.20669228192085,Indian Restaurant
"Anna Road H O,Government Estate,Pudupet",13.087211233333335,80.211609,Sachin ka Dhaba,13.094595104449915,80.2065506450841,BBQ Joint
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Kalathi Cool Drink Stall,13.032062307661246,80.27074786655182,Juice Bar
