Latitude,Longitude,Pincode,Location,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
12.9401275,77.5508062,560085,Banashankari III Stage,4.0,Coffee Shop,Vegetarian / Vegan Restaurant,Breakfast Spot,Café,Indian Restaurant,Smoke Shop,Hotel,Park,Coworking Space,Dry Cleaner
12.9401439,77.5444995,560085,Girinagar,4.0,Breakfast Spot,Hotel,Indian Restaurant,Vegetarian / Vegan Restaurant,Café,Park,Coffee Shop,Fast Food Restaurant,Field,Dive Bar
12.9413253,77.5212118,560039,Nayandahalli,1.0,Coffee Shop,Fried Chicken Joint,Auto Garage,Bus Station,Road,Clothing Store,Miscellaneous Shop,Farmers Market,Event Space,Event Service
12.9417261,77.5755021,560004,Basavanagudi,4.0,Indian Restaurant,Fast Food Restaurant,Sandwich Place,Ice Cream Shop,Café,Park,Juice Bar,Restaurant,Snack Place,Tea Room
12.9428472,77.6104155,560030,Adugodi,4.0,Indian Restaurant,Lounge,Dessert Shop,Café,Coffee Shop,Juice Bar,Multiplex,Bookstore,Donut Shop,Brewery
12.9454643,77.6805505,560037,Yemalur,4.0,Donut Shop,Fast Food Restaurant,Lounge,Indian Restaurant,Tea Room,Yoga Studio,Financial or Legal Service,Field,Farmers Market,Event Space
12.9465265,77.580016,560004,Lalbagh West,4.0,Indian Restaurant,Café,Bakery,Fast Food Restaurant,Park,Restaurant,Snack Place,Ice Cream Shop,Salon / Barbershop,Tea Room
12.9489339,77.5968273,560027,Wilson Garden,4.0,Indian Restaurant,Coffee Shop,Café,Grocery Store,Pizza Place,Clothing Store,Restaurant,Bus Station,Fast Food Restaurant,Southern / Soul Food Restaurant
12.95062355,77.53655376999247,560026,Deepanjalinagar,4.0,Indian Restaurant,Metro Station,Nightclub,Bus Station,Department Store,Train Station,Breakfast Spot,Event Space,Farmers Market,Event Service
12.9523031,77.830108,560067,Medimallasandra,0.0,Scenic Lookout,Yoga Studio,Dive Bar,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant
12.9528478,77.5819643,560004,Mavalli,4.0,Indian Restaurant,Park,Café,Snack Place,Movie Theater,Bakery,Food Truck,Dessert Shop,Food Court,Restaurant
12.95434485,77.62269547878142,560047,Viveknagar,4.0,Pool,Football Stadium,Fast Food Restaurant,Historic Site,Indian Restaurant,Bus Station,Café,Donut Shop,Dry Cleaner,Dumpling Restaurant
12.9546741,77.5121724,560072,Nagarbhavi,4.0,Indian Restaurant,Café,Bakery,Breakfast Spot,Construction & Landscaping,Restaurant,Andhra Restaurant,Market,South Indian Restaurant,Gym
12.9547553,77.5923087,560002,Bangalore Corporation Building,4.0,Indian Restaurant,Coffee Shop,Café,Botanical Garden,Japanese Restaurant,Vegetarian / Vegan Restaurant,Park,Other Nightlife,Middle Eastern Restaurant,Movie Theater
12.9558969,77.7405826,560066,Ramagondanahalli,1.0,Pizza Place,Multiplex,Shopping Mall,Restaurant,Food Court,Hotel,Café,Indian Restaurant,Bookstore,Rajasthani Restaurant
12.9559165,77.6882298,560037,Marathahalli Colony,4.0,Tea Room,Coffee Shop,Airport Terminal,History Museum,Fast Food Restaurant,Clothing Store,Indian Restaurant,Mexican Restaurant,Fried Chicken Joint,Electronics Store
12.9569966,77.5633682,560018,Chamrajpet,4.0,Indian Restaurant,Department Store,Coffee Shop,Café,Fast Food Restaurant,Breakfast Spot,Big Box Store,Sporting Goods Shop,Movie Theater,Multiplex
12.95825135,77.60912220089108,560025,CMP Centre And School,4.0,Indian Restaurant,Bakery,Hotel,Tea Room,Italian Restaurant,BBQ Joint,Pub,Juice Bar,Mobile Phone Shop,Clothing Store
